location_id,address_1,address_2,city,state,zip,county,country,location_source_value,latitude,longitude
1,490 Brekke Highlands Apt 47,,Arlington,,2476,Middlesex County,FI,0004bbbd-1e41-42b0-bd6e-fece53cc1817,42.4317771562749,-71.1304290836975
2,829 McGlynn Pathway,,Rowe,,,Franklin County,FI,00068c8a-52cc-4ad3-9598-f2e192368271,42.7320427050148,-72.9374865356389
3,843 Shields Dam Suite 85,,Montague,,,Franklin County,FI,001a793d-05f1-40e8-a964-28b365e5028c,42.5080649051459,-72.5323754691953
4,1041 Huels Neck,,Oxford,,1540,Worcester County,FI,0021e743-08c6-43b8-9192-5c6a643c6cd1,42.1524242924566,-71.9005840213922
5,974 Johnson Gate,,Bellingham,,2019,Norfolk County,FI,00280e88-3062-4aea-8076-ad740aa86b77,42.1191421290481,-71.4627685757508
6,525 Glover Knoll Apt 17,,Newton,,2465,Middlesex County,FI,002ca0f4-3f61-4584-b3ab-93f4d8573fb3,42.3587347641988,-71.1471752131108
7,789 Fay Boulevard Suite 24,,Savoy,,,Berkshire County,FI,002e30ad-ee1a-418e-aac9-73e47bd7d102,42.5750365513945,-73.0351322022467
8,256 Jerde Promenade Suite 56,,Springfield,,1129,Hampden County,FI,00437aef-0732-4dc2-b596-0497c96816bc,42.1804992054608,-72.524357720772
9,692 Hudson Trailer Apt 17,,Haverhill,,1832,Essex County,FI,0046bbce-9f1f-4277-904f-6a9fa7c220e2,42.7337814530392,-71.123403900793
10,514 Rohan Estate Apt 1,,Framingham,,1702,Middlesex County,FI,00482ef9-c87d-4d85-a658-488e379bccd2,42.3187920809458,-71.4269532374825
11,195 Kirlin Forge Suite 15,,Boston,,2120,Suffolk County,FI,004a3916-e350-42fa-8da9-2ae72c5bdae0,42.4361332039146,-71.0504579715
12,317 Murazik Meadow Suite 38,,Boston,,2110,Suffolk County,FI,004c5902-4689-404b-be64-e78adb2fa3be,42.2975704417018,-71.1369970168044
13,216 Gusikowski Run,,Winchester,,1890,Middlesex County,FI,004e3801-d1da-44fd-b553-2bb4e261c1da,42.4598739338839,-71.1911417465975
14,896 Ondricka Vista Suite 24,,Dedham,,2026,Norfolk County,FI,0050f584-c25c-4349-80a2-0d071cde06ad,42.2271230489801,-71.1296542309722
15,795 Stracke Trace,,Sharon,,,Norfolk County,FI,00561b6d-9892-4e8c-a4b6-372231677850,42.0597695695807,-71.1487374920896
16,872 Medhurst Junction Suite 64,,Newbury,,,Essex County,FI,00582462-db5b-4ef2-8d87-b648a5ff49e2,42.7496113297929,-70.8305846984252
17,690 Kunde Track,,Dudley,,,Worcester County,FI,005a9370-a51a-4e2b-b639-67150db46805,42.0047432586818,-71.9303052554704
18,245 Mayer Walk,,Brockton,,2351,Plymouth County,FI,00638284-b51c-429e-82b0-03fca8edfd3f,42.0550934056212,-71.0297205083402
19,343 Heidenreich Heights,,Lowell,,1852,Middlesex County,FI,0067fd5c-11af-419e-9fc8-4d842aa1e5aa,42.5810692028195,-71.3370503673866
20,619 Nicolas Skyway Unit 77,,Worcester,,1606,Worcester County,FI,00698afc-1b57-4653-93b9-ddd13b17be63,42.3086836290381,-71.7625756457638
21,940 Schneider Alley,,Methuen,,1844,Essex County,FI,0075777f-6bf7-42b7-9729-6bc8102e00f1,42.7814159264749,-71.1608054551999
22,285 Ernser Bypass,,Medford,,2155,Middlesex County,FI,007a3155-512b-412f-aa25-d620b76af715,42.450842219499,-71.0865790045086
23,925 Mueller Glen Suite 45,,Woburn,,1890,Middlesex County,FI,007ea8b1-ee56-4713-bd73-66d1d313d2f8,42.5009887432668,-71.1598624720698
24,601 Greenfelder Loaf Suite 41,,Dighton,,,Bristol County,FI,0088d7a5-aa87-4190-87f4-93e7820d413c,41.8081097949626,-71.143385361618
25,969 McDermott Bridge Apt 98,,Sudbury,,,Middlesex County,FI,008a0e34-b82b-4271-b9fe-6b32d1ec6856,42.3412473147961,-71.4519693266984
26,373 Christiansen Plaza,,Arlington,,,Middlesex County,FI,008b4bfd-d9dd-4744-9f8d-ed937db921f0,42.4666077283176,-71.1767072907245
27,445 Wiza Road Unit 81,,Hamilton,,,Essex County,FI,008bd0d2-8134-441d-ada7-7c4804fe2f36,42.653523973023,-70.8168715228283
28,703 Bashirian Ferry Unit 98,,Reading,,1867,Middlesex County,FI,008c6098-faa6-4353-b75d-3d3913c95dfb,42.4554256415091,-71.1289608716881
29,436 Yundt Center Suite 76,,Holden,,,Worcester County,FI,008ec985-b7aa-4a4d-8e1f-03cf4f46c482,42.3115608396377,-71.8891341688163
30,1058 Spinka Viaduct,,Salem,,1970,Essex County,FI,0092041d-160b-4e68-95e2-b4a0b128d3c3,42.497218080837,-70.8688297971514
31,101 Schaefer Stravenue,,Lynn,,1906,Essex County,FI,0093a5ad-6332-4c75-b9d1-2a0cb3079104,42.4594510898182,-70.9967776630577
32,489 Pfannerstill Village Apt 17,,Lawrence,,1843,Essex County,FI,009b44c5-a581-414f-a878-b54d0e8ef0ca,42.6773888600369,-71.1890995598131
33,169 Collins Wall,,Leominster,,,Worcester County,FI,009c4266-d3cd-46d9-9dd3-92b969ee1729,42.6308593290304,-71.770051385878
34,646 Boyle Hollow Apt 92,,Shrewsbury,,,Worcester County,FI,00a27882-7e8e-4635-975d-ae763a2529cc,42.3196238667364,-71.7068868228035
35,457 Streich Rapid,,Salem,,1907,Essex County,FI,00ac16bf-26d9-4669-b073-100a69d07069,42.4248397842265,-70.8960411328409
36,993 Stracke Alley Unit 58,,Marshfield,,2050,Plymouth County,FI,00affff9-80db-4807-9640-f9477794d9da,42.1103845294766,-70.7163623954139
37,246 Mann Gateway,,Melrose,,,Middlesex County,FI,00b7e6b2-a499-4ee6-be22-d27f44476920,42.4816408964031,-71.0237464755928
38,937 Heller Mews,,Dover,,2030,Norfolk County,FI,00bdab6f-2559-4448-8c86-d2d1097dd9e6,42.2095875308522,-71.3388594826264
39,230 Kub Track Apt 99,,Boston,,2119,Suffolk County,FI,00c2b9a2-8948-4b41-8f7c-80bda18ec1a8,42.343964115951,-70.9687047558497
40,847 Cartwright Village Suite 3,,Longmeadow,,,Hampden County,FI,00c359a0-bbe3-425b-b143-0e72c36872c1,42.0447623317113,-72.6074491704567
41,368 Schamberger Overpass Suite 59,,Boston,,2163,Suffolk County,FI,00c7e1ae-ee8d-48d2-9592-177da929f7a2,42.3207894515997,-71.0775177611246
42,652 Mayert Way Unit 57,,West Springfield,,1089,Hampden County,FI,00c8a2a2-5ceb-4185-94c5-18aa4a97d9bb,42.0973388619431,-72.6841546262668
43,627 Oberbrunner Forge Apt 41,,Longmeadow,,,Hampden County,FI,00d46c99-5da1-4dbc-8760-99b44e545721,42.0525791917351,-72.5824858768265
44,111 Doyle Ville Unit 96,,Barnstable,,2647,Barnstable County,FI,00e6cb49-d011-4c8e-81de-c20bd5fd0178,41.6213212560786,-70.4395039405295
45,912 Wehner Crossing,,Seekonk,,,Bristol County,FI,00e73ce3-01d2-496a-b499-181f33823f52,41.7899498013297,-71.2977179277142
46,761 Reichert Loaf Unit 56,,Brookline,,2215,Norfolk County,FI,00ea7659-98b9-4e73-abb1-65275a17817d,42.3442231647581,-71.1007742890801
47,839 Willms Park,,Lexington,,,Middlesex County,FI,00f54b56-f142-475d-9632-88c00d6da142,42.4359827404809,-71.2195041640733
48,881 Howe Rest,,Ayer,,1434,Middlesex County,FI,00fd63bd-f5de-4320-a61f-7756e587869e,42.582031440368,-71.5479951261831
49,295 Stamm Drive,,Granby,,,Hampshire County,FI,00ffef11-5f07-4176-bf0f-26bfad2b5fb3,42.2185052729649,-72.4612723479129
50,458 Weimann Ferry,,Hampden,,,Hampden County,FI,01065624-e8b3-4c3d-8524-7c82c80e8fdb,42.0237234070263,-72.4403060971389
51,779 Rogahn Promenade Unit 0,,Brookline,,,Norfolk County,FI,01080838-932c-4f75-97a0-1ecf2abad7c0,42.3577631068286,-71.1417100834987
52,478 Cremin Brook,,Everett,,2148,Middlesex County,FI,011be93c-0cb0-466e-a7ea-3475f96ac315,42.4459027574031,-71.0155881558591
53,1042 Collins Dale,,Brockton,,2302,Plymouth County,FI,011cf38b-b41a-4f85-8df1-3a95788846c8,42.0827280743494,-70.9799896504115
54,933 Gislason Frontage road Unit 49,,Boston,,2210,Suffolk County,FI,011e2f8f-f149-4bfe-9213-31f98d778621,42.3077401748965,-71.0576955289951
55,541 Pollich Road,,Billerica,,,Middlesex County,FI,011eeb6a-a1df-4acb-a483-d142da075cc4,42.5203579269659,-71.2859101382935
56,549 Green Throughway,,Springfield,,1119,Hampden County,FI,0122267a-b469-4e1e-ab1c-adfa66203c90,42.1048654143755,-72.5459738884044
57,234 Thiel Skyway Unit 4,,Medford,,,Middlesex County,FI,0128dffd-5040-4fc6-bf2c-0c8b8c9de604,42.4675372230763,-71.1372673172968
58,694 Feil Route Unit 64,,Gardner,,1440,Worcester County,FI,012c7528-6000-4832-88a7-2e3dcc2108b6,42.558571970641,-71.980445605617
59,218 Kuvalis Well Unit 56,,Salisbury,,,Essex County,FI,012ca563-8424-445e-95e7-4399cf862972,42.8327428010914,-70.8036874090887
60,437 Kreiger Trafficway Apt 10,,Easthampton,,1027,Hampshire County,FI,0132cc00-efda-409d-9a60-0755225e7166,42.2607035233005,-72.737583791026
61,1000 Runolfsson Glen Apt 25,,Plymouth,,,Plymouth County,FI,0135be7b-75f5-41fe-ac34-84296999bdda,41.9059140401551,-70.6650630681855
62,397 Cruickshank Crossroad Apt 25,,Haverhill,,1835,Essex County,FI,01399e32-4fe7-4c9e-aae2-4954ab7f59dc,42.8191518104532,-71.0990584568938
63,399 Ryan Divide,,Stow,,,Middlesex County,FI,013e3bb6-ba45-4dc2-96b2-3b41ea0580be,42.4550626815474,-71.4860929598015
64,746 Kshlerin Haven,,Barnstable,,2673,Barnstable County,FI,014dcfed-b387-4bbb-b0c2-9deaf9cdfcf7,41.6923250929718,-70.3357957209497
65,554 Spencer Arcade,,Gardner,,,Worcester County,FI,014debfe-e92d-4601-86c4-89ab8fff75ac,42.6247534053378,-71.9896492951034
66,272 Shanahan Vista Unit 34,,Hanover,,,Plymouth County,FI,014f1174-b675-4a77-b4e0-37204f9f0b84,42.1513928658875,-70.8106754885881
67,944 Armstrong Meadow,,Boston,,2152,Suffolk County,FI,01507140-8e50-4936-8a0f-6cc56199ac63,42.3421822701209,-71.0733313913272
68,631 Auer Village,,Dudley,,,Worcester County,FI,015aaceb-2079-4f2f-a9ae-d354d21512e7,42.0173977635378,-71.9341327890898
69,1081 Williamson Bridge,,Marblehead,,,Essex County,FI,015b7c29-9932-43ba-9c6e-a403e9cd0d52,42.500657916079,-70.8773928759946
70,740 Huels Annex Suite 18,,Salisbury,,,Essex County,FI,015de389-d274-4a6c-bfbf-fafc99a93365,42.8661282526297,-70.824508593307
